#chainfmt afss
#             p0             p1             p2             p3             p4             p5             p6             p7
        1.17953    4.37222e-11     0.00205867      0.0735959       0.100266        3.80911       0.563219        7.79476
        1.18034    4.36147e-11     0.00269003      0.0710195       0.100295        3.81428       0.617541        7.54022
        1.18511     4.3825e-11      0.0045228      0.0782315       0.100851        3.54346       0.377297        8.39496
        1.18328    4.37087e-11     0.00436029      0.0658243       0.097674        3.60185       0.526027        8.23066
        1.19226    4.39308e-11    0.000639686       0.073496       0.100824        3.66905        0.55764        8.21729
        1.19115    4.37728e-11     0.00351995      0.0693402       0.105141        3.39704       0.573913        8.43985
        1.19614    4.40697e-11    0.000553138      0.0748772      0.0990118        3.74778       0.711307        9.14117
        1.19386     4.4018e-11      0.0166014      0.0791263       0.095638        3.40034        0.27144        9.93125
        1.18325    4.38363e-11     0.00477822      0.0841721      0.0839205        3.75577       0.270813        9.87802
        1.18857    4.38473e-11     0.00465047      0.0810883      0.0854771        3.67289       0.195728        9.91954
         1.2006    4.40544e-11     0.00471733      0.0743839      0.0907747        3.80241       0.355201         9.8407
        1.19961    4.37576e-11      0.0114311      0.0846415      0.0871172        4.00832       0.543284        9.84072
        1.19608    4.41431e-11      0.0188412      0.0802726      0.0927406        3.48629       0.400521        9.02463
        1.18602    4.38083e-11      0.0255346       0.067622       0.095616        3.27705       0.363932        9.63486
         1.1843    4.38315e-11      0.0281159      0.0725349      0.0913998         3.6279       0.583166         9.8069
        1.18882    4.38807e-11      0.0201826      0.0760583      0.0974735        4.08041        1.01866        9.24552
        1.19126    4.38507e-11      0.0268441      0.0715579       0.104912        3.60972       0.858787        9.51544
        1.19425    4.39131e-11     0.00812377      0.0733579       0.107493        3.69413       0.742366        9.92574
        1.18905    4.36767e-11     0.00884794       0.070812       0.106742        3.83462        1.06866        9.71208
        1.18846    4.38392e-11      0.0117432      0.0754995       0.104056        4.40632        1.03244        9.37885
        1.18497    4.37773e-11     0.00116116      0.0795846        0.10584        4.26394        0.90446        9.79053
        1.18372    4.36754e-11      0.0106988      0.0809331      0.0975949         4.4269       0.924299          9.354
        1.19387    4.41973e-11      0.0157432       0.081229      0.0996546        4.12909       0.608134        9.03395
         1.1821    4.37309e-11     0.00423281      0.0741741       0.101466        4.13599       0.884757        9.76325
         1.1683    4.36962e-11     0.00597914      0.0801949       0.104966        4.43162        1.13397        9.23622
        1.19251    4.37824e-11      0.0129648      0.0778819       0.106696        4.31262        1.06667        9.19138
        1.18899    4.35332e-11     0.00353891      0.0810904       0.112014        4.40294        1.50655        9.59223
        1.19012     4.3861e-11     0.00522701      0.0732598       0.124831        3.91739        1.34978        9.78237
        1.18548    4.35799e-11     0.00279717      0.0706611       0.120909        4.08011        1.40616        9.90622
